NYM;3;5
NYM;3;10
NYM;3;15
NYM;3;25
NYM;3;40
NYM;3;60
NYM;3;100
NYM;3;160
NYM;3;250
NYM;3;350
NYM;5;5
NYM;5;10
NYM;5;15
NYM;5;25
NYM;5;40
NYM;5;60
NYM;5;100
NYM;5;160
NYM;5;250
NYM;5;350
NYM;7;5
NYM;7;10
NYM;7;15
NYM;7;25
NYM;7;40
NYM;7;60
NYM;7;100
NYM;7;160
NYM;7;250
NYM;7;350
H05VV;2;5
H05VV;2;10
H05VV;2;15
H05VV;2;25
H05VV;2;40
H05VV;2;60
H05VV;2;100
H05VV;2;160
H05VV;3;5
H05VV;3;10
H05VV;3;15
H05VV;3;25
H05VV;3;40
H05VV;3;60
H05VV;3;100
H05VV;3;160
H05VV;5;5
H05VV;5;10
H05VV;5;15
H05VV;5;25
H05VV;5;40
H05VV;5;60
H05VV;5;100
H05VV;5;160
H07RN-F;2;5
H07RN-F;2;10
H07RN-F;2;15
H07RN-F;2;25
H07RN-F;2;40
H07RN-F;2;60
H07RN-F;2;100
H07RN-F;2;160
H07RN-F;3;5
H07RN-F;3;10
H07RN-F;3;15
H07RN-F;3;25
H07RN-F;3;40
H07RN-F;3;60
H07RN-F;3;100
H07RN-F;3;160
H07RN-F;5;5
H07RN-F;5;10
H07RN-F;5;15
H07RN-F;5;25
H07RN-F;5;40
H07RN-F;5;60
H07RN-F;5;100
H07RN-F;5;160
H07RN-F;7;5
H07RN-F;7;10
H07RN-F;7;15
H07RN-F;7;25
H07RN-F;7;40
H07RN-F;7;60
H07RN-F;7;100
H07RN-F;7;160
